datum,ic_bedden_covid,ic_bedden_non_covid,kliniek_bedden,ic_nieuwe_opnames_covid,kliniek_nieuwe_opnames_covid,date,zhopnamen,besmettingen,percentageziekenhuisopnameper,e,f,g,h,i,j,k,l,_merge,bezettingcovid,proportion,ul_prop,ll_prop,perc,ul_perc,ll_perc
13-09-2021,208,504,450,10,41,13sep,312,13637,,,,,,,,,,matched (3),658,.022878932,.02538844,.020369424,2.2878933,2.5388441,2.0369422
14-09-2021,203,556,432,7,51,14sep,,,,,,,,,,,,master only (1),635,,,,,,
15-09-2021,200,575,400,12,45,15sep,,,,,,,,,,,,master only (1),600,,,,,,
16-09-2021,202,565,378,15,49,16sep,,,,,,,,,,,,master only (1),580,,,,,,
17-09-2021,194,570,372,10,51,17sep,,,,,,,,,,,,master only (1),566,,,,,,
18-09-2021,192,548,359,6,50,18sep,,,,,,,,,,,,master only (1),551,,,,,,
19-09-2021,195,503,364,8,32,19sep,,,,,,,,,,,,master only (1),559,,,,,,
20-09-2021,198,525,367,11,30,20sep,241,11651,,,,,,,,,,matched (3),565,.02068492,.023269337,.018100504,2.0684919,2.3269336,1.8100504
21-09-2021,200,578,378,11,45,21sep,,,,,,,,,,,,master only (1),578,,,,,,
22-09-2021,186,589,346,18,23,22sep,,,,,,,,,,,,master only (1),532,,,,,,
23-09-2021,183,592,330,7,39,23sep,,,,,,,,,,,,master only (1),513,,,,,,
24-09-2021,175,612,316,11,41,24sep,,,,,,,,,,,,master only (1),491,,,,,,
25-09-2021,173,576,297,8,32,25sep,,,,,,,,,,,,master only (1),470,,,,,,
26-09-2021,169,541,304,9,29,26sep,,,,,,,,,,,,master only (1),473,,,,,,
27-09-2021,164,569,320,6,22,27sep,274,11509,,,,,,,,,,matched (3),484,.023807455,.026592687,.021022223,2.3807454,2.6592686,2.1022222
28-09-2021,154,614,321,3,39,28sep,,,,,,,,,,,,master only (1),475,,,,,,
29-09-2021,143,594,313,7,38,29sep,,,,,,,,,,,,master only (1),456,,,,,,
30-09-2021,140,622,316,8,35,30sep,,,,,,,,,,,,master only (1),456,,,,,,
01-10-2021,132,629,305,7,45,01oct,,,,,,,,,,,,master only (1),437,,,,,,
02-10-2021,128,587,294,9,35,02oct,,,,,,,,,,,,master only (1),422,,,,,,
03-10-2021,131,573,319,7,36,03oct,,,,,,,,,,,,master only (1),450,,,,,,
04-10-2021,128,575,326,10,28,04oct,336,16889,,,,,,,,,,matched (3),454,.019894606,.022000605,.017788606,1.9894606,2.2000606,1.7788606
05-10-2021,132,663,351,17,65,05oct,,,,,,,,,,,,master only (1),483,,,,,,
06-10-2021,134,661,347,12,43,06oct,,,,,,,,,,,,master only (1),481,,,,,,
07-10-2021,128,666,341,9,42,07oct,,,,,,,,,,,,master only (1),469,,,,,,
08-10-2021,130,666,339,6,46,08oct,,,,,,,,,,,,master only (1),469,,,,,,
09-10-2021,127,622,343,6,59,09oct,,,,,,,,,,,,master only (1),470,,,,,,
10-10-2021,130,553,349,9,48,10oct,,,,,,,,,,,,master only (1),479,,,,,,
11-10-2021,138,583,359,14,38,11oct,458,24695,,,,,,,,,,matched (3),497,.018546265,.020228995,.016863534,1.8546264,2.0228994,1.6863534
12-10-2021,138,634,374,10,59,12oct,,,,,,,,,,,,master only (1),512,,,,,,
13-10-2021,137,632,387,9,56,13oct,,,,,,,,,,,,master only (1),524,,,,,,
14-10-2021,140,637,394,16,53,14oct,,,,,,,,,,,,master only (1),534,,,,,,
15-10-2021,137,632,406,11,62,15oct,,,,,,,,,,,,master only (1),543,,,,,,
16-10-2021,138,612,408,16,60,16oct,,,,,,,,,,,,master only (1),546,,,,,,
17-10-2021,142,568,411,13,55,17oct,,,,,,,,,,,,master only (1),553,,,,,,
,,,,,,18oct,635,36575,,,,,,,,,,using only (2),,.017361585,.018700199,.016022971,1.7361585,1.8700199,1.6022971
,,,,,,25oct,834,51888,,,,,,,,,,using only (2),,.01607308,.017155146,.014991014,1.607308,1.7155147,1.4991014
